id,course_id,course_code,campus,period,date,start_time,end_time,duration,sections/0/lecture_code,sections/0/exam_section,sections/0/location,sections/1/lecture_code,sections/1/exam_section,sections/1/location,sections/2/lecture_code,sections/2/exam_section,sections/2/location,sections/3/lecture_code,sections/3/exam_section,sections/3/location,sections/4/lecture_code,sections/4/exam_section,sections/4/location,sections/5/lecture_code,sections/5/exam_section,sections/5/location,sections/6/lecture_code,sections/6/exam_section,sections/6/location,sections/7/lecture_code,sections/7/exam_section,sections/7/location,sections/8/lecture_code,sections/8/exam_section,sections/8/location,sections/9/lecture_code,sections/9/exam_section,sections/9/location,sections/10/lecture_code,sections/10/exam_section,sections/10/location,sections/11/lecture_code,sections/11/exam_section,sections/11/location,sections/12/lecture_code,sections/12/exam_section,sections/12/location,sections/13/lecture_code,sections/13/exam_section,sections/13/location,sections/14/lecture_code,sections/14/exam_section,sections/14/location,sections/15/lecture_code,sections/15/exam_section,sections/15/location,sections/16/lecture_code,sections/16/exam_section,sections/16/location,sections/17/lecture_code,sections/17/exam_section,sections/17/location,sections/18/lecture_code,sections/18/exam_section,sections/18/location,sections/19/lecture_code,sections/19/exam_section,sections/19/location,sections/20/lecture_code,sections/20/exam_section,sections/20/location,sections/21/lecture_code,sections/21/exam_section,sections/21/location,sections/22/lecture_code,sections/22/exam_section,sections/22/location,sections/23/lecture_code,sections/23/exam_section,sections/23/location
AER521H1S20161APR16,AER521H1S20161,AER521H1S,UTSG,APR16,2016-04-22,34200,43200,9000,,A - Z,NR 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANA300Y1Y20149DEC15,ANA300Y1Y20149,ANA300Y1Y,UTSG,DEC15,2015-12-18,32400,43200,10800,,,DEPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANA300Y1Y20159APR16,ANA300Y1Y20159,ANA300Y1Y,UTSG,APR16,2016-04-12,50400,61200,10800,,,DEPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANT100Y1Y20159APR16,ANT100Y1Y20159,ANT100Y1Y,UTSG,APR16,2016-04-28,68400,75600,7200,,A - GA,EX 100,,GE - MC,EX 200,,ME - PE,EX 300,,PH - SHI,EX 310,,SHO - T,EX 320,,U - W,SF 2202,,X - Z,SF 3202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANT100Y1Y20165AUG16,ANT100Y1Y20165,ANT100Y1Y,UTSG,AUG16,2016-08-11,68400,79200,10800,,,EX 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANT102H5F20169DEC16,ANT102H5F20169,ANT102H5F,UTM,DEC16,2016-12-16,61200,68400,7200,,A - Lo,Gym A/B,,Lu - St,Gym C,,Su - Z,TFC Cafeteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANT200H5F20169DEC16,ANT200H5F20169,ANT200H5F,UTM,DEC16,2016-12-16,32400,39600,7200,,,TFC Cafeteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANT206H5F20169DEC16,ANT206H5F20169,ANT206H5F,UTM,DEC16,2016-12-14,61200,72000,10800,,,Gym C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANT207H1F20159DEC15,ANT207H1F20159,ANT207H1F,UTSG,DEC15,2015-12-18,68400,79200,10800,,A - LE,NR 25,,LI - Z,ST VLAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANT207H1S20165SAUG16,ANT207H1S20165S,ANT207H1S,UTSG,AUG16,2016-08-09,68400,75600,7200,,,SF 2202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANT211H5F20169DEC16,ANT211H5F20169,ANT211H5F,UTM,DEC16,2016-12-19,32400,39600,7200,,,Gym A/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANT220H5F20169DEC16,ANT220H5F20169,ANT220H5F,UTM,DEC16,2016-12-10,32400,39600,7200,,,Gym A/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANT312H5F20169DEC16,ANT312H5F20169,ANT312H5F,UTM,DEC16,2016-12-15,61200,72000,10800,,,IB 110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANT329H1F20159DEC15,ANT329H1F20159,ANT329H1F,UTSG,DEC15,2015-12-15,32400,39600,7200,,,MP 103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANT334H1F20159DEC15,ANT334H1F20159,ANT334H1F,UTSG,DEC15,2015-12-16,50400,57600,7200,,,HI CART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANT335H5F20169DEC16,ANT335H5F20169,ANT335H5F,UTM,DEC16,2016-12-09,61200,72000,10800,,,IB 120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANT336H1S20161APR16,ANT336H1S20161,ANT336H1S,UTSG,APR16,2016-04-25,68400,75600,7200,,,UC 266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANT343H1S20165SAUG16,ANT343H1S20165S,ANT343H1S,UTSG,AUG16,2016-08-10,68400,79200,10800,,,EX 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
